product_id,Sku_name,Total_sales,price,Total_comment_count,Product_score
5.76655E+11,Hugo Boss【Hugo】男士迷彩印花休闲版T恤50395353 ,5,539,0,无数据
5.75327E+11,Hugo Boss【BOSS】男士商务休闲正装西装长裤50394591 ,5,1155,2,5
5.59889E+11,Hugo Boss【BOSS】男士深蓝色短袜50272194 ,50,0,8,5
5.74046E+11,Hugo Boss【BOSS】男士商务休闲印花弹力棉平角内裤50381187 ,41,224,8,5
5.76315E+11,Hugo Boss【BOSS】男士商务休闲粒面革八卡槽皮夹式钱包50390402 ,8,1450,3,5
5.80592E+11,Hugo Boss【BOSS】男士商务休闲长袖T恤针织衫50402498 ,3,2200,0,无数据
5.81526E+11,Hugo Boss【BOSS】男士商务休闲领带50401504 ,6,900,0,无数据
5.80714E+11,Hugo Boss【BOSS】男士商务休闲短袖印花T恤50403144 ,3,1000,0,无数据
5.79704E+11,Hugo Boss【BOSS】男士商务休闲西装长裤50318499 ,7,2200,2,5
5.74483E+11,Hugo Boss【BOSS】男士商务休闲提花衬衫50393151 ,8,1080,2,5
5.81671E+11,Hugo Boss【BOSS】男士商务休闲牛仔裤50399786 ,2,1800,2,5
5.78764E+11,Hugo Boss【BOSS】男士商务休闲素色短袖T恤50387393 ,20,900,6,4.6
5.79569E+11,Hugo Boss【BOSS】男士商务休闲拉绳泳裤短裤50220844 ,7,500,1,5
5.82099E+11,Hugo Boss【Hugo】男士长裤50401095 ,4,1650,0,无数据
5.73665E+11,Hugo Boss【BOSS】男士运动休闲针织毛衣50388254 ,34,1350,10,5
5.82214E+11,Hugo Boss【BOSS】男士商务休闲修身版混色棉毛衣针织衫50398280 ,1,1650,1,5
5.80752E+11,Hugo Boss【BOSS】男士商务休闲桑蚕丝西装领带50401376 ,2,1000,0,无数据
5.75986E+11,Hugo Boss【BOSS】男士商务休闲Polo衫50391610 ,23,1080,5,5
5.7332E+11,Hugo Boss【BOSS】男士商务休闲领带50397018 ,12,616,4,5
5.82358E+11,Hugo Boss【BOSS】男士商务休闲牛仔裤50400901 ,2,1800,0,无数据
5.75184E+11,Hugo Boss【BOSS】男士商务休闲印花T恤50401983 ,12,800,2,5
5.79389E+11,Hugo Boss【BOSS】男士商务休闲弹力棉内裤50377658 ,20,300,4,5
5.55233E+11,Hugo Boss【BOSS】男士运动休闲修身版牛仔长裤50315097 ,8,1085,2,5
5.7812E+11,Hugo Boss【BOSS】男士商务休闲牛皮革低帮皮鞋乐福鞋50398266 ,4,3440,1,5
