product_id,eva_tag
581301144308,无数据
577271842664,无数据
570867396218,5
561677495016,5
569150796780,5
580709742476,5
575518994963,5
582593870210,无数据
576641677180,4.7
577940532214,5
578092540022,无数据
568304916110,5
562788467670,5
580998972626,5
580830231609,5
574441446924,5
569785947564,4.8
571102062642,5
573020859466,5
576580282453,5
582814809145,无数据
579387380747,4.5
582822248459,无数据
573732503497,5
574330741603,3.6
581333422237,无数据
572768647484,4.6
581983575211,无数据
577078967488,无数据
579573973165,5
582088713497,无数据
569368007929,无数据
555232414285,5
575906253927,无数据
581701754316,5
581852650505,无数据
578441899431,5
556959031239,4.9
575989519862,5
576520608997,4.9
547007229683,4.5
573977168292,5
581713185645,5
572196251460,4.9
573693968146,4.8
581961115065,无数据
578032903907,5
581865445962,无数据
572602251547,5
573018595315,无数据
569604533882,5
581836002670,5
582576970027,5
582246372518,无数据
577759557399,4.5
574587228035,5
578124121144,无数据
582094874072,5
574851274880,无数据
581579009237,无数据
581762296092,无数据
575111141913,无数据
582443221067,无数据
559875457936,5
575814675671,5
569157631333,5
573951179233,5
574120529363,5
546659367279,5
575532146734,5
574371472241,5
575749219837,5
575518378018,5
581774396705,5
581971017839,无数据
572247496485,5
582712303852,无数据
575479842781,5
569062928044,无数据
569376067117,5
577797866752,5
581712093418,无数据
577944888602,5
574140433927,5
569068535463,5
547022345650,5
573736317434,5
577153789667,无数据
581519780830,无数据
569366446092,5
577311622359,无数据
573980344706,3
546619097539,5
569599405498,5
571151151694,5
568308908863,5
569603093067,无数据
571591482662,5
576869007840,5
575093170395,5
582216294759,5
565080127567,4.8
566626812757,5
578152944017,无数据
569336112299,5
568886321051,5
582237947894,无数据
559886822279,4.8
577267190367,无数据
575258115650,5
577436872250,5
574738751155,无数据
564932873199,4.8
581669436171,无数据
582091882116,无数据
582082345181,无数据
581514332516,无数据
578840780508,5
579826247774,5
571103342316,无数据
574922439851,5
582227962105,无数据
582451793624,无数据
581321182937,5
580759796708,无数据
574354831181,5
581723397808,无数据
571343344607,5
576883631089,4.5
581382764027,5
575591073791,5
583283671643,无数据
574824340491,4.7
573380564020,无数据
579318041632,无数据
581834934196,无数据
572398445173,5
581642182238,5
575295922186,5
571056917844,5
577048144788,无数据
576914807548,5
574380846642,5
574808890263,无数据
577077431737,无数据
569279773170,5
581707521575,无数据
582253076276,无数据
574423572206,无数据
556958347183,4.8
581530144660,5
575377512797,5
581990814045,无数据
569603337231,4.8
575299574585,5
582247824213,无数据
576637431069,5
581905132683,无数据
572767319451,5
546653091601,5
574525167913,无数据
566328169850,5
564924749076,5
569695494652,5
558956737405,4.8
583173728653,无数据
569461413098,4.9
576279608511,5
581322736673,5
576878007607,4.5
582228498856,无数据
582509182419,5
581852870476,无数据
565387905910,4.9
567622674243,5
573951987685,5
569785135693,5
581726361659,无数据
577329318930,无数据
579698210560,5
569781479274,4.7
556958639843,4.6
558639246096,3
575629287119,无数据
581066988745,无数据
581984915955,5
576413673019,5
582108177604,无数据
581976503503,5
561560512764,5
574705697132,5
581711677368,无数据
556898798060,5
568978942892,4.2
581724497313,无数据
583167424201,无数据
569603641423,4.3
573990692537,无数据
576983568730,无数据
581668676062,无数据
579824251644,5
581066660246,5
572528055353,无数据
556958563255,4.8
582226875284,无数据
583648532024,无数据
582578486237,无数据
571593838042,无数据
581205761584,无数据
578114225660,无数据
568310120635,5
570830076092,5
584121359120,无数据
582121995504,无数据
575029056251,4.5
582713955773,无数据
568763520426,5
581669616401,无数据
574434154528,5
572826769125,5
581007532194,无数据
582216010871,无数据
575479854061,5
582228875905,无数据
582813824532,无数据
547013933957,5
582569702696,无数据
581458275474,5
582244096078,无数据
574693594496,5
573812482880,3.6
574317637212,5
579702230563,5
573688460533,无数据
569703034721,5
574153784064,5
581724801634,5
582093350539,无数据
575263776309,无数据
541916897648,5
581899741103,无数据
